case_id,family,n_vars,n_clauses,width,status,witness,assignments,nodes,decisions,propagations,conflicts,literal_checks,xor_source_rows,xor_source_literals,xor_calls,xor_row_checks,xor_pairs,xor_pair_bit_volume,xor_derived,xor_peak_rows,xor_cutoffs,xor_forced
mixed-n6-s0,mixed,6,24,0,UNSAT,,0,13,6,14,7,779,3,9,0,0,0,0,0,0,0,0
mixed-n6-s0,mixed,6,24,2,UNSAT,,0,13,6,14,7,779,3,9,6,18,6,27,2,3,0,0
mixed-n6-s0,mixed,6,24,3,UNSAT,,0,7,3,12,4,635,3,9,5,15,87,483,17,7,0,2
mixed-n6-s0,mixed,6,24,4,UNSAT,,0,7,3,12,4,635,3,9,5,15,105,591,20,7,0,2
planted-n6-s0,planted,6,24,0,SAT,101100,0,3,2,4,0,214,3,9,0,0,0,0,0,0,0,0
planted-n6-s0,planted,6,24,2,SAT,101100,0,3,2,4,0,214,3,9,2,6,3,12,1,3,0,0
planted-n6-s0,planted,6,24,3,SAT,101100,0,2,1,5,0,214,3,9,2,6,36,207,7,7,0,1
planted-n6-s0,planted,6,24,4,SAT,101100,0,2,1,5,0,214,3,9,2,6,42,243,8,7,0,1
cnf-only-n6-s0,cnf-only,6,24,0,SAT,000000,0,3,2,4,0,211,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s0,cnf-only,6,24,2,SAT,000000,0,3,2,4,0,211,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s0,cnf-only,6,24,3,SAT,000000,0,3,2,4,0,211,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s0,cnf-only,6,24,4,SAT,000000,0,3,2,4,0,211,0,0,0,0,0,0,0,0,0,0
mixed-n6-s1,mixed,6,24,0,SAT,101111,0,11,5,14,5,688,3,9,0,0,0,0,0,0,0,0
mixed-n6-s1,mixed,6,24,2,SAT,101111,0,11,5,14,5,688,3,9,5,15,18,99,4,6,0,0
mixed-n6-s1,mixed,6,24,3,SAT,101111,0,9,4,13,4,636,3,9,5,15,81,453,16,7,0,1
mixed-n6-s1,mixed,6,24,4,SAT,101111,0,9,4,13,4,636,3,9,5,15,105,597,20,7,0,1
planted-n6-s1,planted,6,24,0,SAT,011110,0,3,2,4,0,184,3,9,0,0,0,0,0,0,0,0
planted-n6-s1,planted,6,24,2,SAT,011110,0,3,2,4,0,184,3,9,2,6,3,12,1,3,0,0
planted-n6-s1,planted,6,24,3,SAT,011110,0,3,2,4,0,184,3,9,2,6,21,114,4,6,0,0
planted-n6-s1,planted,6,24,4,SAT,011110,0,3,2,4,0,184,3,9,2,6,30,168,6,6,0,0
cnf-only-n6-s1,cnf-only,6,24,0,SAT,100000,0,3,2,3,0,214,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s1,cnf-only,6,24,2,SAT,100000,0,3,2,3,0,214,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s1,cnf-only,6,24,3,SAT,100000,0,3,2,3,0,214,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s1,cnf-only,6,24,4,SAT,100000,0,3,2,3,0,214,0,0,0,0,0,0,0,0,0,0
mixed-n6-s2,mixed,6,24,0,SAT,010110,0,4,2,7,1,351,3,9,0,0,0,0,0,0,0,0
mixed-n6-s2,mixed,6,24,2,SAT,010110,0,4,2,7,1,351,3,9,2,6,0,0,0,0,0,0
mixed-n6-s2,mixed,6,24,3,SAT,010110,0,4,2,7,1,351,3,9,2,6,30,144,6,6,0,0
mixed-n6-s2,mixed,6,24,4,SAT,010110,0,4,2,7,1,351,3,9,2,6,42,204,8,7,0,0
planted-n6-s2,planted,6,24,0,SAT,001100,0,3,2,4,0,209,3,9,0,0,0,0,0,0,0,0
planted-n6-s2,planted,6,24,2,SAT,001100,0,3,2,4,0,209,3,9,2,6,1,6,0,2,0,0
planted-n6-s2,planted,6,24,3,SAT,001100,0,3,2,4,0,233,3,9,3,9,13,72,2,5,0,1
planted-n6-s2,planted,6,24,4,SAT,001100,0,3,2,4,0,233,3,9,3,9,24,138,4,7,0,1
cnf-only-n6-s2,cnf-only,6,24,0,SAT,110000,0,6,3,9,2,475,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s2,cnf-only,6,24,2,SAT,110000,0,6,3,9,2,475,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s2,cnf-only,6,24,3,SAT,110000,0,6,3,9,2,475,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s2,cnf-only,6,24,4,SAT,110000,0,6,3,9,2,475,0,0,0,0,0,0,0,0,0,0
mixed-n6-s3,mixed,6,24,0,SAT,101100,0,3,2,4,0,244,3,9,0,0,0,0,0,0,0,0
mixed-n6-s3,mixed,6,24,2,SAT,101100,0,3,2,4,0,244,3,9,2,6,0,0,0,1,0,0
mixed-n6-s3,mixed,6,24,3,SAT,101100,0,3,2,4,0,245,3,9,3,9,19,99,4,5,0,1
mixed-n6-s3,mixed,6,24,4,SAT,101100,0,3,2,4,0,245,3,9,3,9,39,204,8,7,0,1
planted-n6-s3,planted,6,24,0,SAT,000001,0,4,3,3,0,230,3,9,0,0,0,0,0,0,0,0
planted-n6-s3,planted,6,24,2,SAT,000001,0,4,3,3,0,230,3,9,3,9,3,15,1,3,0,0
planted-n6-s3,planted,6,24,3,SAT,000001,0,4,3,3,0,230,3,9,3,9,7,35,2,3,0,0
planted-n6-s3,planted,6,24,4,SAT,000001,0,4,3,3,0,230,3,9,3,9,9,45,3,3,0,0
cnf-only-n6-s3,cnf-only,6,24,0,SAT,100000,0,5,3,3,1,247,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s3,cnf-only,6,24,2,SAT,100000,0,5,3,3,1,247,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s3,cnf-only,6,24,3,SAT,100000,0,5,3,3,1,247,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s3,cnf-only,6,24,4,SAT,100000,0,5,3,3,1,247,0,0,0,0,0,0,0,0,0,0
mixed-n6-s4,mixed,6,24,0,SAT,100110,0,3,2,3,0,171,3,9,0,0,0,0,0,0,0,0
mixed-n6-s4,mixed,6,24,2,SAT,100110,0,3,2,3,0,171,3,9,2,6,3,15,1,3,0,0
mixed-n6-s4,mixed,6,24,3,SAT,100110,0,3,2,3,0,197,3,9,3,9,39,191,8,7,0,1
mixed-n6-s4,mixed,6,24,4,SAT,100110,0,3,2,3,0,197,3,9,3,9,45,219,9,7,0,1
planted-n6-s4,planted,6,24,0,SAT,000100,0,3,2,3,0,184,3,9,0,0,0,0,0,0,0,0
planted-n6-s4,planted,6,24,2,SAT,000100,0,3,2,3,0,184,3,9,2,6,3,12,1,3,0,0
planted-n6-s4,planted,6,24,3,SAT,000100,0,2,1,4,0,200,3,9,2,6,36,174,7,7,0,1
planted-n6-s4,planted,6,24,4,SAT,000100,0,2,1,4,0,200,3,9,2,6,42,204,8,7,0,1
cnf-only-n6-s4,cnf-only,6,24,0,SAT,001101,0,5,3,4,1,313,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s4,cnf-only,6,24,2,SAT,001101,0,5,3,4,1,313,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s4,cnf-only,6,24,3,SAT,001101,0,5,3,4,1,313,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s4,cnf-only,6,24,4,SAT,001101,0,5,3,4,1,313,0,0,0,0,0,0,0,0,0,0
mixed-n6-s5,mixed,6,24,0,UNSAT,,0,7,3,10,4,507,3,9,0,0,0,0,0,0,0,0
mixed-n6-s5,mixed,6,24,2,UNSAT,,0,7,3,10,4,507,3,9,3,9,0,0,0,1,0,0
mixed-n6-s5,mixed,6,24,3,UNSAT,,0,3,1,5,2,324,3,9,3,9,30,165,6,5,0,2
mixed-n6-s5,mixed,6,24,4,UNSAT,,0,3,1,5,2,324,3,9,3,9,45,255,9,6,0,2
planted-n6-s5,planted,6,24,0,SAT,101000,0,3,2,4,0,244,3,9,0,0,0,0,0,0,0,0
planted-n6-s5,planted,6,24,2,SAT,101000,0,3,2,4,0,244,3,9,2,6,0,0,0,1,0,0
planted-n6-s5,planted,6,24,3,SAT,101000,0,3,2,4,0,243,3,9,3,9,19,99,4,5,0,1
planted-n6-s5,planted,6,24,4,SAT,101000,0,3,2,4,0,243,3,9,3,9,39,219,8,7,0,1
cnf-only-n6-s5,cnf-only,6,24,0,SAT,110011,0,8,4,14,3,514,0,0,0,0,0,0,0,0,0,0
cnf-only-n6-s5,cnf-only,6,24,2,SAT,110011,0,8,4,14,3,514,0,0,0,0,0,0,0,0,0,0
